Country,AR,WG,Total Country Authors,Total Authors,Percentage of Authors in Country
Bolivia,5,3,0,268,0.0000
Botswana,1,1,0,248,0.0000
Botswana,1,2,0,169,0.0000
Botswana,1,3,0,69,0.0000
Botswana,2,1,0,411,0.0000
Botswana,2,2,0,543,0.0000
Botswana,2,3,0,93,0.0000
Botswana,3,1,0,599,0.0000
Botswana,3,2,2,401,0.4988
Botswana,3,3,0,219,0.0000
Botswana,4,1,0,615,0.0000
Botswana,4,2,2,423,0.4728
Botswana,4,3,1,273,0.3663
Botswana,5,1,1,777,0.1287
Botswana,5,2,1,664,0.1506
Botswana,5,3,1,268,0.3731
Brazil,1,1,4,248,1.6129
Brazil,1,2,1,169,0.5917
Brazil,1,3,3,69,4.3478
Brazil,2,1,4,411,0.9732
Brazil,2,2,4,543,0.7366
Brazil,2,3,3,93,3.2258
Brazil,3,1,3,599,0.5008
Brazil,3,2,5,401,1.2469
Brazil,3,3,7,219,3.1963
Brazil,4,1,3,615,0.4878
Brazil,4,2,6,423,1.4184
Brazil,4,3,6,273,2.1978
Brazil,5,1,6,777,0.7722
Brazil,5,2,12,664,1.8072
Brazil,5,3,11,268,4.1045
Bulgaria,1,1,0,248,0.0000
Bulgaria,1,2,0,169,0.0000
Bulgaria,1,3,0,69,0.0000
Bulgaria,2,1,0,411,0.0000
Bulgaria,2,2,0,543,0.0000
Bulgaria,2,3,0,93,0.0000
Bulgaria,3,1,0,599,0.0000
Bulgaria,3,2,0,401,0.0000
Bulgaria,3,3,0,219,0.0000
Bulgaria,4,1,0,615,0.0000
Bulgaria,4,2,0,423,0.0000
Bulgaria,4,3,0,273,0.0000
Bulgaria,5,1,0,777,0.0000
Bulgaria,5,2,1,664,0.1506
Bulgaria,5,3,1,268,0.3731
Cambodia,1,1,0,248,0.0000
Cambodia,1,2,0,169,0.0000
Cambodia,1,3,0,69,0.0000
Cambodia,2,1,0,411,0.0000
Cambodia,2,2,0,543,0.0000
Cambodia,2,3,0,93,0.0000
Cambodia,3,1,0,599,0.0000
Cambodia,3,2,0,401,0.0000
Cambodia,3,3,0,219,0.0000
Cambodia,4,1,0,615,0.0000
Cambodia,4,2,0,423,0.0000
Cambodia,4,3,0,273,0.0000
Cambodia,5,1,0,777,0.0000
Cambodia,5,2,0,664,0.0000
Cambodia,5,3,0,268,0.0000
Cameroon,1,1,0,248,0.0000
Cameroon,1,2,0,169,0.0000
Cameroon,1,3,0,69,0.0000
Cameroon,2,1,0,411,0.0000
Cameroon,2,2,0,543,0.0000
Cameroon,2,3,0,93,0.0000
Cameroon,3,1,0,599,0.0000
Cameroon,3,2,0,401,0.0000
Cameroon,3,3,0,219,0.0000
Cameroon,4,1,0,615,0.0000
Cameroon,4,2,0,423,0.0000
Cameroon,4,3,0,273,0.0000
